Lineups,TEAM,GP,MIN,OffRtg,DefRtg,NetRtg,AST%,AST/TO,AST Ratio,OREB%,DREB%,REB%,TO Ratio,eFG%,TS%,PACE,PIE
".P. Tucker, .J. Butler, .B. Adebayo, .D. Robinson, .G. Vincent",MIA,20,163,110.8,102.8,8.0,75.8,1.96,21.2,28.3,81.4,54.0,0.2,53.8,56.6,96.22,54.1
".F. VanVleet, .O. Anunoby, .G. Trent Jr., .P. Achiuwa, .S. Barnes",TOR,17,158,109.0,100.6,8.4,48.9,1.79,15.3,31.1,76.3,52.3,0.1,51.1,53.2,98.21,50.2
".H. Diallo, .K. Hayes, .S. Bey, .I. Stewart, .C. Cunningham",DET,14,156,101.8,113.0,-11.2,57.3,1.56,17.3,19.6,73.2,46.9,0.1,51.6,54.5,101.39,44.5
".D. Russell, .K. Towns, .J. Vanderbilt, .A. Edwards, .J. McDaniels",MIN,19,155,108.1,112.6,-4.6,60.2,1.57,17.4,28.2,70.6,49.2,0.2,53.2,56.7,103.46,48.6
".J. Green, .A. Rivers, .A. Gordon, .N. Jokic, .M. Morris",DEN,10,153,123.1,104.5,18.6,67.6,2.41,21.3,26.9,74.6,53.8,0.1,58.6,63.3,97.79,62.9
".D. DeRozan, .N. Vucevic, .Z. LaVine, .L. Ball, .J. Green",CHI,13,152,109.7,106.2,3.5,65.7,2.05,20.0,19.9,79.1,49.7,0.1,55.7,57.9,101.6,50.2
".D. McDermott, .D. Murray, .J. Poeltl, .K. Johnson, .D. Vassell",SAS,17,152,113.5,114.5,-1.0,70.0,3.0,22.2,21.8,73.8,48.1,0.1,55.1,58.1,105.34,51.9
".P. Siakam, .F. VanVleet, .G. Trent Jr., .P. Achiuwa, .S. Barnes",TOR,15,152,114.7,101.3,13.4,52.3,1.86,15.6,35.2,75.6,56.0,0.1,52.3,56.0,96.44,56.9
".C. Capela, .T. Luwawu-Cabarrot, .J. Collins, .K. Huerter, .T. Young",ATL,10,151,118.2,110.9,7.3,60.9,2.0,18.2,36.0,80.1,57.8,0.1,54.4,57.7,100.52,52.9
".M. Turner, .D. Sabonis, .C. LeVert, .M. Brogdon, .C. Duarte",IND,11,148,122.6,108.0,14.6,66.4,2.12,21.5,27.9,73.7,52.7,0.1,58.2,62.6,96.84,57.9
".D. Powell, .D. Finney-Smith, .M. Kleber, .J. Brunson, .L. Doncic",DAL,20,142,105.3,117.7,-12.4,60.0,1.43,17.3,25.6,71.5,48.3,0.2,53.6,57.0,94.54,45.9
".J. Valanciunas, .C. McCollum, .B. Ingram, .J. Hayes, .H. Jones",NOP,12,142,122.6,114.3,8.2,57.1,1.95,19.0,34.6,71.6,53.6,0.1,58.2,61.8,101.08,55.1
