Lineups,TEAM,GP,MIN,OffRtg,DefRtg,NetRtg,AST%,AST/TO,AST Ratio,OREB%,DREB%,REB%,TO Ratio,eFG%,TS%,PACE,PIE
".G. Temple, .W. Hernangomez, .J. Hart, .D. Graham, .N. Alexander-Walker",NOP,5,21,113.6,131.7,-18.1,60.0,2.4,19.4,30.0,70.6,48.6,0.1,55.1,58.2,95.4,45.6
".H. Barnes, .A. Len, .D. Fox, .T. Davis, .T. Haliburton",SAC,3,21,120.4,116.7,3.7,52.4,2.2,16.9,23.8,68.2,46.5,0.1,59.5,62.4,112.19,55.7
".H. Barnes, .B. Hield, .D. Jones, .D. Fox, .T. Haliburton",SAC,4,21,142.1,131.4,10.7,52.6,3.33,19.2,30.8,63.2,50.0,0.1,65.6,70.8,83.99,57.8
".H. Barnes, .J. Lamb, .D. Sabonis, .D. Fox, .D. Mitchell",SAC,4,21,126.1,102.1,24.0,40.0,2.67,13.3,30.0,66.7,50.0,0.1,53.8,61.1,108.61,63.0
".H. Barnes, .R. Holmes, .D. Fox, .C. Metu, .D. Mitchell",SAC,8,21,69.4,97.9,-28.5,41.7,0.63,8.5,19.2,76.0,47.1,0.2,38.6,40.9,108.43,28.0
".I. Smith, .T. Bryant, .R. Hachimura, .D. Avdija, .C. Kispert",WAS,6,21,111.1,119.6,-8.5,78.9,1.25,24.2,18.2,60.0,48.8,0.3,75.0,76.6,105.25,54.9
".J. Grant, .J. Jackson, .K. Hayes, .S. Bey, .I. Stewart",DET,3,21,64.3,121.4,-57.1,60.0,2.0,10.0,31.6,80.0,45.3,0.1,23.9,27.3,96.69,10.0
".J. Green, .D. Reed, .Z. Nnaji, .F. Campazzo, .B. Hyland",DEN,4,21,64.3,106.8,-42.5,63.6,3.5,13.7,14.8,83.3,42.2,0.0,33.3,34.5,98.29,16.9
".J. Holiday, .M. Turner, .C. LeVert, .O. Brissett, .C. Duarte",IND,3,21,134.1,112.2,22.0,54.5,1.71,21.4,30.8,83.3,61.3,0.2,72.1,73.3,95.7,63.1
".J. Jackson Jr., .B. Clarke, .J. Konchar, .D. Bane, .Z. Williams",MEM,4,21,119.6,104.1,15.5,65.0,1.86,20.3,26.3,87.0,59.5,0.2,57.9,62.3,106.71,56.1
".J. Johnson, .K. Irving, .A. Drummond, .S. Curry, .B. Brown",BKN,1,21,136.4,102.3,34.1,61.9,2.6,21.0,26.3,82.4,52.8,0.1,68.9,71.0,101.34,64.4
".J. Valanciunas, .B. Ingram, .J. Hart, .N. Alexander-Walker, .H. Jones",NOP,6,21,102.3,100.0,2.3,60.0,1.0,15.3,37.5,94.1,66.7,0.2,56.7,59.3,99.31,52.5
".K. Caldwell-Pope, .S. Dinwiddie, .M. Harrell, .A. Holiday, .D. Avdija",WAS,6,21,81.0,100.0,-19.0,70.0,1.4,13.0,20.8,84.2,48.8,0.1,30.9,41.9,97.55,37.0
".K. Durant, .G. Dragic, .S. Curry, .B. Brown, .N. Claxton",BKN,4,21,113.3,120.0,-6.7,61.1,1.83,18.6,21.4,63.6,47.2,0.1,62.9,68.6,101.72,53.3
".K. Love, .C. Osman, .B. Goodwin, .L. Stevens, .E. Mobley",CLE,7,21,97.6,153.7,-56.1,58.3,0.88,12.7,31.8,61.1,45.0,0.2,42.2,51.2,92.84,26.5
".K. Olynyk, .T. Lyles, .F. Jackson, .H. Diallo, .K. Hayes",DET,2,21,128.9,143.5,-14.6,43.5,0.91,16.4,46.2,47.1,46.7,0.2,70.8,74.2,103.1,41.0
".K. Porter Jr., .J. Green, .J. Tate, .J. Christopher, .A. Sengun",HOU,5,21,110.0,106.3,3.8,54.5,3.0,16.7,34.5,72.7,51.0,0.1,52.0,52.4,110.08,50.3
".K. Walker, .E. Fournier, .J. Randle, .R. Barrett, .O. Toppin",NYK,5,21,108.9,111.4,-2.5,47.4,1.13,15.3,27.8,62.5,47.6,0.2,58.1,61.1,102.32,48.5
".L. James, .T. Ariza, .R. Westbrook, .A. Davis, .M. Monk",LAL,2,21,97.8,146.9,-49.1,86.7,2.17,20.0,21.4,59.1,38.0,0.1,47.3,48.2,107.92,23.2
".M. Beasley, .J. McLaughlin, .N. Reid, .A. Edwards, .J. McDaniels",MIN,6,21,117.8,112.5,5.3,61.1,2.75,19.0,13.6,47.6,30.2,0.1,55.0,60.3,108.19,46.0
".M. Morris Sr., .L. Kennard, .I. Hartenstein, .A. Coffey, .T. Mann",LAC,10,21,97.9,97.8,0.1,61.1,2.2,17.7,21.7,81.8,51.1,0.1,50.0,53.0,107.18,46.9
".N. Batum, .P. George, .R. Jackson, .I. Zubac, .L. Kennard",LAC,8,21,115.2,81.8,33.4,60.0,2.0,19.4,20.0,75.0,50.0,0.1,60.3,62.3,102.06,76.8
".N. Vucevic, .Z. LaVine, .A. Caruso, .L. Ball, .J. Green",CHI,10,21,81.8,140.9,-59.1,57.1,1.33,14.0,20.8,84.6,43.2,0.1,39.5,43.8,98.54,22.2
".N. Vucevic, .Z. LaVine, .D. Jones Jr., .C. White, .A. Dosunmu",CHI,9,21,113.0,104.5,8.5,68.4,3.25,19.4,38.1,78.3,59.1,0.1,53.8,59.3,103.02,64.1
".P. Beverley, .D. Russell, .J. Vanderbilt, .N. Reid, .A. Edwards",MIN,6,21,109.5,102.3,7.3,62.5,1.67,16.1,41.7,54.2,47.9,0.1,47.3,51.2,97.47,56.7
".P. Siakam, .O. Anunoby, .C. Boucher, .G. Trent Jr., .P. Achiuwa",TOR,5,21,100.0,109.3,-9.3,50.0,1.17,11.5,44.0,72.2,55.8,0.1,41.0,47.6,96.15,39.6
".R. Gay, .M. Conley, .R. Gobert, .J. Clarkson, .T. Forrest",UTA,3,21,100.0,109.3,-9.3,58.8,2.0,16.7,32.0,81.3,51.2,0.1,47.6,49.6,95.63,41.9
".R. Gay, .R. Gobert, .J. Clarkson, .R. O'Neale, .D. Mitchell",UTA,9,21,102.2,91.7,10.6,33.3,1.0,7.8,8.7,68.0,39.6,0.1,46.7,56.7,105.78,54.3
".S. Adams, .J. Jackson Jr., .D. Melton, .J. Morant, .Z. Williams",MEM,10,21,96.0,124.0,-28.0,70.6,6.0,17.4,28.6,72.0,49.1,0.0,43.3,48.2,111.98,41.7
".S. Adams, .T. Jones, .J. Jackson Jr., .D. Melton, .D. Bane",MEM,7,21,106.5,93.6,12.9,62.5,1.11,16.1,27.3,77.3,52.3,0.2,55.6,60.6,107.41,54.8
".S. Dinwiddie, .K. Kuzma, .D. Gafford, .D. Avdija, .C. Kispert",WAS,1,21,121.4,123.3,-1.8,61.1,1.22,19.3,25.0,68.0,51.2,0.2,65.2,68.2,98.32,47.0
".S. Gilgeous-Alexander, .D. Bazley, .I. Roby, .L. Waters III, .A. Wiggins",OKC,2,21,115.9,146.5,-30.6,78.9,5.0,23.8,18.2,78.6,41.7,0.1,55.0,58.0,99.11,41.6
".S. Ibaka, .P. George, .R. Jackson, .L. Kennard, .T. Mann",LAC,7,21,120.0,88.4,31.6,38.9,1.4,13.2,35.3,60.0,50.0,0.1,60.0,63.0,97.09,66.9
".T. Gibson, .A. Burks, .E. Fournier, .J. Randle, .Q. Grimes",NYK,7,21,81.8,80.0,1.8,61.5,0.89,13.6,31.8,66.7,48.8,0.2,44.1,48.5,102.45,50.0
".T. Ross, .M. Bamba, .W. Carter Jr., .C. Anthony, .J. Suggs",ORL,7,21,84.8,111.1,-26.3,53.3,1.0,12.7,34.6,64.7,46.5,0.2,41.3,45.3,106.17,27.8
".T. Ross, .M. Wagner, .R. Hampton, .F. Wagner, .J. Suggs",ORL,3,21,128.9,93.6,35.3,65.2,2.14,23.4,25.0,70.8,52.5,0.2,69.2,70.4,105.06,67.0
".T. Young, .F. VanVleet, .C. Boucher, .P. Achiuwa, .S. Barnes",TOR,7,21,84.1,85.4,-1.3,78.6,1.57,17.7,30.8,91.3,59.2,0.2,44.9,46.4,98.79,51.7
".A. Horford, .J. Tatum, .D. White, .D. Theis, .P. Pritchard",BOS,5,20,123.1,78.4,44.7,64.3,1.29,16.1,42.1,66.7,55.8,0.2,54.7,60.8,90.07,86.8
".A. Wiggins, .G. Payton II, .D. Lee, .J. Poole, .J. Kuminga",GSW,5,20,110.5,100.0,10.5,66.7,1.67,17.5,42.9,78.9,60.0,0.2,50.0,55.1,92.31,55.5
".B. Beal, .K. Caldwell-Pope, .M. Harrell, .K. Kuzma, .C. Kispert",WAS,6,20,122.5,107.1,15.4,57.9,2.75,19.3,31.6,57.7,46.7,0.1,55.3,59.0,98.39,54.4
".B. Beal, .K. Caldwell-Pope, .S. Dinwiddie, .M. Harrell, .D. Avdija",WAS,5,20,114.3,88.1,26.2,63.2,1.33,20.7,30.8,77.3,60.0,0.2,66.1,68.6,98.91,66.5
".B. Beal, .T. Bryant, .R. Hachimura, .D. Avdija, .C. Kispert",WAS,4,20,109.1,127.5,-18.4,55.0,3.67,17.7,29.2,60.9,44.7,0.1,52.4,54.3,100.46,48.3
".B. Bogdanovic, .K. Huerter, .T. Young, .D. Hunter, .O. Okongwu",ATL,10,20,127.7,104.7,23.0,50.0,3.0,20.0,9.1,50.0,33.3,0.1,72.9,76.1,109.26,62.2
".C. Anthony, .R. Westbrook, .D. Jordan, .M. Monk, .A. Reaves",LAL,4,20,91.1,88.9,2.2,40.0,0.6,10.2,40.0,72.7,60.4,0.2,48.5,53.4,106.51,60.3
".C. Joseph, .K. Hayes, .S. Bey, .I. Stewart, .C. Cunningham",DET,8,20,114.6,85.0,29.6,36.8,0.78,12.5,44.4,73.7,59.5,0.2,61.4,63.2,96.12,57.0
".C. Paul, .C. Payne, .M. Bridges, .D. Ayton, .C. Johnson",PHX,6,20,68.2,139.1,-70.9,72.7,0.8,14.8,11.1,57.1,35.9,0.2,46.4,49.0,108.26,19.9
".D. Augustin, .D. House Jr., .A. Brooks, .K. Martin Jr., .A. Sengun",HOU,4,20,125.0,128.2,-3.2,62.5,3.33,16.7,45.8,60.9,53.2,0.1,51.3,56.6,95.35,47.0
".D. DeRozan, .T. Thompson, .A. Caruso, .C. White, .J. Green",CHI,6,20,100.0,90.5,9.5,56.3,4.5,15.0,37.5,68.2,52.2,0.0,40.0,47.3,98.64,79.8
".D. Eubanks, .C. Elleby, .B. Williams, .K. Johnson, .T. Watford",POR,3,20,75.6,133.3,-57.7,76.9,1.43,17.5,24.0,73.3,42.5,0.2,39.2,40.0,98.29,19.8
".D. Gallinari, .D. Wright, .J. Collins, .K. Huerter, .T. Young",ATL,7,20,118.4,78.7,39.6,61.9,13.0,20.6,5.3,76.9,46.7,0.0,62.8,66.8,114.26,71.9
".D. Green, .A. Wiggins, .K. Looney, .G. Payton II, .J. Poole",GSW,6,20,115.0,88.1,26.9,76.5,1.63,23.2,17.6,68.2,46.2,0.2,64.7,65.9,97.66,58.5
".D. Rose, .A. Burks, .N. Noel, .J. Randle, .I. Quickley",NYK,7,20,117.1,105.1,11.9,62.5,3.33,18.2,22.2,68.8,44.1,0.1,56.3,61.5,96.0,62.4
".D. Russell, .J. Vanderbilt, .N. Reid, .A. Edwards, .J. McDaniels",MIN,9,20,118.2,95.6,22.6,60.0,4.0,19.4,27.3,60.9,44.4,0.1,58.3,59.4,105.86,62.2
".E. Bledsoe, .J. Winslow, .L. Kennard, .I. Hartenstein, .T. Mann",LAC,10,20,107.3,120.0,-12.7,62.5,1.67,17.2,38.9,69.6,56.1,0.1,51.5,57.5,96.84,46.2
".E. Gordon, .D. Schroder, .J. Green, .J. Tate, .A. Sengun",HOU,1,20,128.3,100.0,28.3,47.6,1.0,15.6,44.4,76.2,61.5,0.2,61.5,66.0,107.11,54.5
".F. Kaminsky, .D. Booker, .C. Payne, .M. Bridges, .C. Johnson",PHX,5,20,104.4,102.2,2.2,57.9,1.57,18.6,17.6,68.0,47.6,0.2,56.9,60.8,106.23,57.2
".G. Dieng, .S. Hill, .D. Wright, .K. Huerter, .C. Reddish",ATL,2,20,80.5,66.7,13.8,76.9,2.5,17.5,24.0,88.9,57.7,0.1,40.8,42.0,101.24,64.9
".G. Dragic, .P. Siakam, .O. Anunoby, .G. Trent Jr., .S. Barnes",TOR,1,20,135.1,107.9,27.2,50.0,2.25,16.7,40.0,78.6,55.9,0.1,58.1,61.0,90.18,55.4
".H. Whiteside, .J. Clarkson, .D. House Jr., .D. Mitchell, .T. Forrest",UTA,7,20,134.1,115.4,18.7,40.9,1.8,15.3,35.3,75.0,51.7,0.1,71.6,72.0,98.7,59.5
".J. Allen, .B. Goodwin, .D. Wade, .I. Okoro, .E. Mobley",CLE,2,20,97.5,118.4,-20.9,69.2,1.8,16.7,27.3,65.0,45.2,0.1,48.5,52.6,93.27,41.0
".J. Grant, .T. Lyles, .K. Hayes, .S. Bey, .C. Cunningham",DET,4,20,129.5,111.6,17.9,57.9,2.2,18.6,21.1,81.8,53.7,0.1,63.5,68.1,104.09,54.7
".J. Green, .D. Cousins, .W. Barton, .A. Gordon, .M. Morris",DEN,2,20,117.1,104.8,12.3,75.0,2.4,21.1,21.1,77.8,48.6,0.1,54.4,59.1,100.44,52.9
".J. Randle, .M. Robinson, .R. Barrett, .Q. Grimes, .I. Quickley",NYK,10,20,104.7,65.1,39.5,46.7,1.17,12.7,26.3,83.3,61.2,0.1,51.6,54.0,102.25,86.2
".K. Durant, .B. Griffin, .J. Harden, .J. Harris, .N. Claxton",BKN,2,20,83.3,132.6,-49.2,57.1,1.0,14.8,19.0,70.8,46.7,0.2,45.5,47.3,103.29,31.6
".K. Love, .C. Osman, .B. Goodwin, .D. Wade, .E. Mobley",CLE,3,20,133.3,112.8,20.5,55.0,1.83,20.4,25.0,66.7,45.2,0.2,71.2,72.1,92.68,48.6
".K. Love, .C. Osman, .L. Markkanen, .B. Goodwin, .E. Mobley",CLE,7,20,123.3,108.9,14.4,60.0,2.4,20.3,26.3,83.3,58.1,0.1,61.8,63.2,104.43,54.9
".K. Love, .C. Osman, .L. Markkanen, .D. Garland, .E. Mobley",CLE,7,20,95.8,102.4,-6.6,60.0,1.8,14.5,24.0,70.8,46.9,0.1,48.6,54.0,108.86,56.3
".K. Lowry, .D. Dedmon, .C. Martin, .D. Robinson, .T. Herro",MIA,7,20,70.2,91.3,-21.1,45.5,0.56,8.8,22.7,72.7,47.7,0.2,37.5,44.3,111.19,30.7
".K. Olynyk, .J. Grant, .K. Hayes, .S. Bey, .C. Cunningham",DET,7,20,100.0,88.4,11.6,68.8,1.83,16.7,39.3,52.6,44.7,0.1,44.0,47.0,106.39,62.4
".K. Towns, .M. Beasley, .T. Prince, .J. McLaughlin, .J. McDaniels",MIN,11,20,108.3,136.0,-27.7,88.2,3.0,23.1,9.5,77.8,41.0,0.1,62.2,63.5,115.19,39.9
".L. James, .C. Anthony, .R. Westbrook, .M. Monk, .T. Horton-Tucker",LAL,7,20,117.1,102.5,14.6,57.9,1.57,19.3,35.7,65.0,52.9,0.2,67.2,64.4,96.46,61.7
".L. Markkanen, .J. Allen, .I. Okoro, .E. Mobley, .K. Pangos",CLE,2,20,133.3,141.5,-8.1,51.9,2.33,24.1,18.2,75.0,54.8,0.1,75.7,74.8,98.53,52.0
".L. Williams, .D. Gallinari, .G. Dieng, .K. Huerter, .C. Reddish",ATL,5,20,95.1,102.2,-7.1,56.3,1.29,14.5,42.9,71.4,57.1,0.2,39.8,42.6,101.03,41.2
".M. Diakite, .D. Bazley, .L. Dort, .T. Mann, .J. Giddey",OKC,4,20,59.1,76.2,-17.1,40.0,0.5,7.0,32.1,78.6,55.4,0.2,27.6,31.3,103.22,32.5
".N. Batum, .P. George, .E. Bledsoe, .I. Zubac, .L. Kennard",LAC,7,20,74.4,115.6,-41.1,75.0,0.75,15.3,30.4,71.4,50.0,0.3,44.1,44.7,107.48,28.4
".N. Bjelica, .K. Thompson, .A. Wiggins, .J. Poole, .J. Kuminga",GSW,4,20,128.2,121.6,6.6,76.2,5.33,27.1,25.0,72.2,50.0,0.1,66.2,66.0,92.82,55.1
".N. Vucevic, .Z. LaVine, .T. Brown Jr., .C. White, .J. Green",CHI,8,20,126.2,107.1,19.0,73.7,3.5,24.1,11.8,68.2,43.6,0.1,63.9,65.6,101.04,57.4
".P. Siakam, .F. VanVleet, .O. Anunoby, .C. Boucher, .G. Trent Jr.",TOR,6,20,126.2,80.4,45.8,42.9,2.25,16.1,27.8,57.7,45.5,0.1,61.5,64.3,106.2,70.6
".P. Watson, .S. Gilgeous-Alexander, .L. Dort, .I. Roby, .A. Wiggins",OKC,2,20,113.6,109.1,4.5,43.8,2.33,13.5,4.8,69.6,38.6,0.1,52.8,59.3,107.12,49.2
".R. Bullock, .T. Hardaway Jr., .K. Porzingis, .L. Doncic, .J. Green",DAL,4,20,88.6,72.3,16.3,60.0,1.0,10.9,21.7,72.0,47.9,0.1,35.9,48.3,108.27,64.0
".R. Covington, .J. Nurkic, .N. Powell, .D. Smith Jr., .N. Little",POR,3,20,83.7,115.9,-32.2,85.7,1.09,21.1,13.3,69.6,47.4,0.3,53.4,56.1,102.37,34.6
".R. Holmes, .B. Hield, .M. Bagley III, .T. Haliburton, .D. Mitchell",SAC,7,20,100.0,88.4,11.6,70.6,2.4,20.0,19.2,60.0,37.0,0.1,48.8,49.8,101.27,52.6
".R. Lopez, .T. Ross, .G. Harris, .C. Okeke, .C. Anthony",ORL,6,20,113.6,114.6,-1.0,50.0,1.25,16.4,38.1,72.2,53.8,0.2,57.7,58.2,100.73,44.0
".S. Adams, .K. Anderson, .D. Melton, .J. Morant, .J. Konchar",MEM,8,20,141.9,104.9,37.0,47.6,3.33,15.6,50.0,76.2,62.8,0.1,59.8,63.5,103.26,65.3
".S. Curry, .N. Bjelica, .O. Porter Jr., .D. Lee, .J. Toscano-Anderson",GSW,6,20,109.5,71.4,38.1,77.8,1.75,21.9,38.1,78.3,59.1,0.2,55.1,56.4,99.88,79.7
".T. Burke, .M. Chriss, .F. Ntilikina, .T. Pinson, .J. Green",DAL,4,20,76.2,116.7,-40.5,64.3,2.25,16.1,18.5,63.6,38.8,0.1,36.6,38.2,99.64,28.5
".T. Hardaway Jr., .K. Porzingis, .D. Finney-Smith, .M. Kleber, .L. Doncic",DAL,4,20,112.8,97.4,15.5,68.8,2.75,20.4,21.1,82.4,50.0,0.1,58.8,59.3,94.37,56.8
".T. Hardaway Jr., .K. Porzingis, .W. Cauley-Stein, .D. Finney-Smith, .L. Doncic",DAL,2,20,110.0,120.5,-10.5,43.8,1.75,13.0,29.2,66.7,45.2,0.1,47.4,50.3,95.52,38.5
".T. Harris, .S. Curry, .J. Embiid, .G. Niang, .F. Korkmaz",PHI,10,20,123.3,102.4,20.8,64.7,2.75,18.6,31.6,62.5,48.8,0.1,54.3,61.7,100.62,64.5
".T. Harris, .S. Curry, .J. Embiid, .S. Milton, .M. Thybulle",PHI,6,20,160.5,112.5,48.0,76.2,5.33,27.6,30.8,64.3,48.1,0.1,75.8,77.9,93.37,62.9
".T. Maledon, .V. Krejci, .L. Waters III, .T. Mann, .O. Sarr",OKC,6,20,82.9,148.8,-65.9,61.5,1.14,14.8,23.8,53.3,36.1,0.2,45.6,47.5,96.31,23.4
".T. McConnell, .D. Sabonis, .T. Craig, .K. Martin, .C. Duarte",IND,6,20,90.2,136.8,-46.6,64.3,1.29,14.8,44.0,73.3,55.0,0.2,42.1,45.5,94.05,26.9
".T. Ross, .M. Bamba, .C. Okeke, .R. Hampton, .J. Suggs",ORL,8,20,86.7,136.2,-49.5,57.1,1.14,14.5,12.5,81.3,40.0,0.2,45.9,49.2,107.79,20.5
".T. Thompson, .B. Hield, .D. Fox, .M. Bagley III, .D. Mitchell",SAC,8,20,95.7,140.5,-44.7,60.0,1.5,14.1,34.8,70.6,50.0,0.1,48.6,52.4,107.3,34.1
".T. Young, .P. Siakam, .G. Trent Jr., .P. Achiuwa, .S. Barnes",TOR,6,20,83.7,85.0,-1.3,69.2,1.29,15.3,30.4,71.4,50.0,0.2,42.6,46.9,101.03,50.4
".W. Hernangomez, .B. Ingram, .N. Alexander-Walker, .K. Lewis Jr., .H. Jones",NOP,5,20,104.9,93.0,11.9,66.7,2.4,19.7,38.1,68.0,54.3,0.1,48.7,51.1,99.31,56.0
".A. Drummond, .S. Curry, .G. Niang, .F. Korkmaz, .T. Maxey",PHI,11,19,93.2,88.1,5.1,80.0,3.0,20.3,14.3,70.8,44.4,0.1,54.2,55.6,105.86,55.6
".A. Iguodala, .N. Bjelica, .O. Porter Jr., .G. Payton II, .J. Poole",GSW,6,19,87.2,114.3,-27.1,75.0,1.5,16.1,34.6,62.5,45.2,0.2,39.5,42.8,100.61,26.1
".B. Beal, .K. Caldwell-Pope, .K. Kuzma, .D. Gafford, .C. Kispert",WAS,7,19,102.4,116.3,-13.8,44.4,1.33,14.8,29.4,78.9,55.6,0.1,51.4,55.1,105.64,45.8
".B. Beal, .K. Caldwell-Pope, .R. Neto, .M. Harrell, .D. Avdija",WAS,10,19,100.0,102.5,-2.5,56.3,3.0,16.4,11.1,75.0,41.2,0.1,51.5,58.1,107.04,57.6
".B. Bogdanovic, .J. Clarkson, .R. O'Neale, .E. Paschall, .T. Forrest",UTA,5,19,107.1,107.1,0.0,64.3,1.5,17.3,6.3,72.7,44.7,0.1,60.3,67.4,107.14,50.6
".B. Griffin, .P. Mills, .K. Irving, .B. Brown, .K. Edwards",BKN,4,19,75.0,132.5,-57.5,40.0,2.0,8.7,11.5,57.9,31.1,0.1,32.9,38.9,99.48,19.0
".B. McLemore, .R. Covington, .L. Nance Jr., .A. Simons, .N. Little",POR,4,19,78.4,86.8,-8.5,36.4,0.36,8.2,40.9,68.0,55.3,0.3,40.6,43.0,96.51,33.3
".C. Anthony, .R. Westbrook, .W. Ellington, .A. Davis, .T. Horton-Tucker",LAL,5,19,123.8,90.2,33.6,80.0,2.4,21.4,14.3,80.0,56.4,0.1,63.8,70.4,106.11,74.2
".C. Capela, .B. Bogdanovic, .T. Young, .C. Reddish, .C. Brown Jr.",ATL,1,19,102.4,117.1,-14.6,50.0,1.33,14.5,26.1,78.3,52.2,0.1,47.4,51.0,103.22,44.1
".C. Capela, .D. Wright, .T. Luwawu-Cabarrot, .K. Huerter, .T. Young",ATL,2,19,126.2,120.9,5.3,77.3,2.83,25.8,38.9,88.2,62.9,0.1,63.8,64.8,105.06,54.7
".C. Capela, .T. Young, .C. Reddish, .S. Mays, .C. Brown Jr.",ATL,2,19,95.5,139.5,-44.1,53.3,1.6,13.1,36.0,75.0,51.2,0.1,42.5,47.8,107.26,28.6
".C. Joseph, .J. Grant, .F. Jackson, .I. Stewart, .C. Cunningham",DET,5,19,115.8,89.7,26.0,70.6,3.0,23.5,7.7,83.3,51.6,0.1,68.3,67.4,95.45,64.6
".C. Joseph, .J. Grant, .S. Bey, .L. Garza, .C. Cunningham",DET,2,19,107.9,140.5,-32.6,73.3,2.75,20.8,19.0,73.3,41.7,0.1,48.6,52.5,94.32,31.8
".C. McCollum, .T. Snell, .J. Nurkic, .N. Powell, .A. Simons",POR,3,19,110.3,137.8,-27.6,68.8,1.83,21.6,6.7,87.5,48.4,0.2,65.0,65.0,96.34,38.5
".D. Augustin, .D. Nwaba, .K. Martin Jr., .J. Christopher, .A. Sengun",HOU,5,19,132.4,128.6,3.9,82.4,3.5,25.0,37.5,55.6,47.1,0.1,69.4,71.9,91.07,53.7
".D. Bertans, .R. Neto, .S. Dinwiddie, .M. Harrell, .D. Avdija",WAS,6,19,123.8,100.0,23.8,52.9,3.0,15.8,30.0,72.2,50.0,0.1,55.7,61.2,106.52,61.9
".D. DeRozan, .D. Jones Jr., .A. Caruso, .T. Bradley, .A. Dosunmu",CHI,6,19,119.0,97.6,21.5,29.4,1.25,8.6,50.0,87.0,68.1,0.1,46.1,53.9,104.24,68.0
".D. DeRozan, .N. Vucevic, .D. Jones Jr., .C. White, .A. Dosunmu",CHI,7,19,141.0,123.1,17.9,47.8,2.75,20.8,27.3,78.6,56.0,0.1,77.9,76.9,96.71,52.6
".D. Rose, .T. Gibson, .E. Fournier, .J. Randle, .R. Barrett",NYK,10,19,131.0,64.9,66.1,57.1,1.5,19.0,52.9,80.8,69.8,0.2,61.8,65.5,98.96,94.1
".D. Russell, .K. Towns, .M. Beasley, .T. Prince, .J. McDaniels",MIN,11,19,129.3,97.6,31.6,65.0,2.6,22.0,25.0,80.0,52.5,0.1,61.5,63.6,106.52,54.9
".D. Russell, .K. Towns, .T. Prince, .J. Okogie, .A. Edwards",MIN,3,19,117.9,91.9,26.1,87.5,2.8,23.3,36.8,73.9,57.1,0.1,57.4,59.2,98.45,66.2
".E. Bledsoe, .R. Jackson, .J. Winslow, .I. Hartenstein, .B. Boston Jr.",LAC,4,19,123.1,71.8,51.3,83.3,3.0,26.8,15.4,79.2,56.8,0.1,69.4,71.3,99.72,81.5
".G. Hayward, .K. Oubre Jr., .T. Rozier, .M. Bridges, .J. McDaniels",CHA,6,19,114.3,102.4,11.8,62.5,3.33,18.2,20.0,68.2,45.2,0.1,51.4,58.1,102.82,55.4
".G. Temple, .G. Clark, .J. Hayes, .N. Alexander-Walker, .J. Alvarado",NOP,8,19,92.7,102.6,-9.9,43.8,1.17,11.7,48.1,76.5,59.1,0.1,46.2,46.1,102.99,36.3
".H. Barnes, .A. Len, .B. Hield, .D. Fox, .M. Bagley III",SAC,7,19,137.2,114.6,22.6,83.3,5.0,27.8,40.9,70.8,56.5,0.1,63.6,62.7,104.55,59.2
".H. Barnes, .M. Harkless, .A. Len, .D. Fox, .T. Haliburton",SAC,5,19,117.1,102.3,14.7,52.6,3.33,18.5,15.8,66.7,42.5,0.1,59.5,60.5,108.48,52.0
".H. Barnes, .M. Harkless, .R. Holmes, .B. Hield, .D. Fox",SAC,4,19,90.2,139.0,-48.8,53.3,1.33,15.4,15.8,64.7,38.9,0.1,50.0,51.7,105.71,27.0
".H. Barnes, .R. Holmes, .M. Bagley III, .T. Davis, .T. Haliburton",SAC,2,19,95.3,133.3,-38.0,55.6,2.5,17.9,13.6,84.2,46.3,0.1,51.3,51.3,105.06,35.3
".H. Barnes, .T. Lyles, .D. Jones, .D. Fox, .D. Mitchell",SAC,4,19,107.5,104.8,2.7,71.4,1.67,18.9,14.3,76.2,45.2,0.2,53.0,56.8,105.64,46.4
".I. Smith, .T. Satoransky, .K. Porzingis, .R. Hachimura, .C. Kispert",WAS,4,19,122.5,127.9,-5.4,76.5,2.6,22.8,23.5,72.2,48.6,0.1,60.3,65.3,105.4,47.3
".J. Butler, .C. Martin, .D. Robinson, .T. Herro, .O. Yurtseven",MIA,3,19,135.0,110.0,25.0,70.6,2.4,20.7,37.5,85.7,60.0,0.1,64.1,70.8,99.48,58.6
".J. Green, .A. Rivers, .W. Barton, .A. Gordon, .M. Morris",DEN,3,19,113.5,105.1,8.4,68.8,2.75,22.0,13.3,70.0,45.7,0.1,58.1,61.6,96.65,51.5
".J. Jackson Jr., .J. Morant, .B. Clarke, .J. Konchar, .D. Bane",MEM,5,19,116.7,116.7,0.0,58.8,2.0,16.1,47.6,65.2,56.8,0.1,54.3,58.3,106.73,52.9
".J. Layman, .J. Okogie, .J. Nowell, .L. Bolmaro, .N. Knight",MIN,6,19,106.7,86.4,20.3,81.3,2.17,21.3,17.6,84.2,52.8,0.1,59.1,62.7,113.12,61.6
".J. McGee, .C. Payne, .T. Craig, .M. Bridges, .L. Shamet",PHX,6,19,142.1,86.5,55.6,57.1,2.4,22.6,30.8,84.2,62.5,0.1,71.2,73.9,95.46,76.8
".K. Birch, .O. Anunoby, .C. Boucher, .G. Trent Jr., .D. Banton",TOR,6,19,97.7,102.6,-4.9,22.2,1.0,7.1,37.5,82.4,56.1,0.1,45.1,46.7,102.05,50.9
