Lineups,TEAM,MIN,GP,OffRtg,DefRtg,NetRtg
"Gary Harris, Wendell Carter Jr., Chuma Okeke, Cole Anthony, Franz Wagner",ORL,79,23,105.1,107.3,-2.1
"Buddy Hield, Malcolm Brogdon, Oshae Brissett, Tyrese Haliburton, Isaiah Jackson",IND,78,7,105.4,127.0,-21.7
"CJ McCollum, Robert Covington, Jusuf Nurkic, Anfernee Simons, Nassir Little",POR,78,8,108.8,86.0,22.8
"Josh Green, Will Barton, Josh Green, Aaron Gordon, Monte Morris",DEN,78,6,104.5,122.4,-17.9
"Steven Adams, Kyle Anderson, Tyus Jones, Dillon Brooks, De'Anthony Melton",MEM,78,13,124.9,100.0,24.9
"Chris Paul, Devin Booker, Mikal Bridges, Cameron Johnson, Jalen Smith",PHX,76,8,119.5,109.9,9.6
"Jonas Valanciunas, CJ McCollum, Devonte' Graham, Jaxson Hayes, Herbert Jones",NOP,76,7,128.8,100.0,28.8
"Patrick Beverley, D'Angelo Russell, Karl-Anthony Towns, Anthony Edwards, Jalen McDaniels",MIN,76,17,118.9,108.2,10.7
"Patrick Beverley, Karl-Anthony Towns, Malik Beasley, Jarred Vanderbilt, Anthony Edwards",MIN,76,25,107.0,121.3,-14.3
"Jae Crowder, Cameron Payne, Mikal Bridges, Landry Shamet, Deandre Ayton",PHX,75,6,96.3,103.7,-7.4
"LeBron James, Russell Westbrook, Stanley Johnson, Malik Monk, Austin Reaves",LAL,75,10,118.0,108.0,10.0
"Bradley Beal, Kentavious Caldwell-Pope, Raul Neto, Kyle Kuzma, Daniel Gafford",WAS,74,20,105.8,113.2,-7.4
"Bogdan Bogdanovic, Rudy Gobert, Joe Ingles, Royce O'Neale, Donovan Mitchell",UTA,74,18,115.0,97.6,17.4
"Ben McLemore, Robert Covington, Jusuf Nurkic, Anfernee Simons, Nassir Little",POR,74,6,126.2,98.7,27.5
"Dejounte Murray, Jakob Poeltl, Keon Johnson, Devin Vassell, Joshua Primo",SAS,74,11,108.3,107.0,1.3
"Eric Gordon, Christian Wood, Kevin Porter Jr., Garrison Mathews, Jae'Sean Tate",HOU,74,7,122.5,100.6,21.9
"Kentavious Caldwell-Pope, Raul Neto, Kyle Kuzma, Daniel Gafford, Corey Kispert",WAS,74,12,120.5,129.5,-9.0
"Kentavious Caldwell-Pope, Raul Neto, Kyle Kuzma, Thomas Bryant, Corey Kispert",WAS,74,11,103.2,105.3,-2.1
"Lou Williams, Danilo Gallinari, Clint Capela, Delon Wright, Cam Reddish",ATL,74,10,109.6,98.1,11.5
"Mike Conley, Hassan Whiteside, Bogdan Bogdanovic, Royce O'Neale, Donovan Mitchell",UTA,74,15,130.7,113.1,17.6
"Harrison Barnes, Maurice Harkless, Richaun Holmes, Tyrese Haliburton, Davion Mitchell",SAC,73,8,106.0,103.9,2.0
"Kentavious Caldwell-Pope, Raul Neto, Kristaps Porzingis, Kyle Kuzma, Corey Kispert",WAS,73,6,110.6,108.7,1.9
"Robert Covington, Luke Kennard, Isaiah Hartenstein, Amir Coffey, Tre Mann",LAC,73,15,100.0,100.6,-0.6
"Kelly Oubre Jr., Terry Rozier, Miles Bridges, P.J. Washington, LaMelo Ball",CHA,72,19,111.5,103.6,7.9
"Trey Lyles, Hamidou Diallo, Killian Hayes, Saddiq Bey, Cade Cunningham",DET,72,11,107.1,119.1,-12.0
"CJ McCollum, Tony Snell, Larry Nance Jr., Anfernee Simons, Nassir Little",POR,71,10,110.9,102.1,8.7
"Nikola Vucevic, Zach LaVine, Troy Brown Jr., Coby White, Ayo Dosunmu",CHI,71,18,110.5,124.4,-13.9
"Patrick Beverley, Karl-Anthony Towns, Malik Beasley, Anthony Edwards, Jalen McDaniels",MIN,71,23,113.5,102.5,11.1
"Dejounte Murray, Jakob Poeltl, Lonnie Walker IV, Keon Johnson, Devin Vassell",SAS,70,21,110.7,115.5,-4.8
"Garrett Temple, Jonas Valanciunas, Brandon Ingram, Devonte' Graham, Herbert Jones",NOP,70,11,104.2,110.1,-5.9
"Justin Holiday, Myles Turner, .K. Sykes, Domantas Sabonis, Duane Washington Jr.",IND,70,5,104.1,110.9,-6.7
"Kyle Lowry, P.J. Tucker, Dewayne Dedmon, Duncan Robinson, Gabe Vincent",MIA,70,8,116.1,89.4,26.7
"P.J. Tucker, Jimmy Butler, Dewayne Dedmon, Duncan Robinson, Tyler Herro",MIA,70,22,121.6,105.6,16.0
"Harrison Barnes, Maurice Harkless, Justin Holiday, Domantas Sabonis, De'Aaron Fox",SAC,69,5,111.4,127.7,-16.2
"Harrison Barnes, Richaun Holmes, De'Aaron Fox, Chimezie Metu, Tyrese Haliburton",SAC,69,7,98.6,105.5,-6.9
"Jae Crowder, Devin Booker, Mikal Bridges, Deandre Ayton, Cameron Johnson",PHX,69,5,131.7,120.3,11.4
"Lauri Markkanen, Darius Garland, Isaac Okoro, Lamar Stevens, Evan Mobley",CLE,69,7,120.6,108.5,12.1
"Will Barton, Aaron Gordon, Nikola Jokic, Monte Morris, Bones Hyland",DEN,69,12,125.0,113.1,11.9
"Carmelo Anthony, Russell Westbrook, Avery Bradley, Anthony Davis, Malik Monk",LAL,68,14,99.4,86.8,12.5
"Chris Paul, Jae Crowder, .F. Kaminsky, Devin Booker, Mikal Bridges",PHX,68,7,127.1,102.1,25.0
"DeMar DeRozan, Zach LaVine, Alex Caruso, Lonzo Ball, Tony Bradley",CHI,68,5,124.8,94.1,30.7
"Gary Harris, Mo Bamba, Wendell Carter Jr., Franz Wagner, Jalen Suggs",ORL,68,8,102.7,100.7,2.1
"Andre Drummond, Georges Niang, Furkan Korkmaz, Shake Milton, Matisse Thybulle",PHI,67,10,109.6,91.0,18.6
"Al Horford, Jaylen Brown, Jayson Tatum, Derrick White, Grant Williams",BOS,67,8,133.3,119.4,13.9
"Harrison Barnes, Richaun Holmes, Buddy Hield, De'Aaron Fox, Tyrese Haliburton",SAC,67,17,115.7,123.1,-7.4
"Lauri Markkanen, Jarrett Allen, Collin Sexton, Darius Garland, Evan Mobley",CLE,67,6,95.0,94.3,0.7
"Monte Morris Sr., Reggie Jackson, Ivica Zubac, Luke Kennard, Tre Mann",LAC,67,14,93.4,105.3,-11.9
"Bradley Beal, Raul Neto, Montrezl Harrell, Kyle Kuzma, Deni Avdija",WAS,66,17,101.4,102.1,-0.7
"Danilo Gallinari, Bojan Bogdanovic, Delon Wright, Kevin Huerter, Onyeka Okongwu",ATL,66,10,114.2,106.7,7.5
"Dennis Schroder, Marcus Smart, Jaylen Brown, Jayson Tatum, Robert Williams III",BOS,66,11,105.6,99.3,6.3
"Kevin Porter Jr., Garrison Mathews, Josh Green, Jae'Sean Tate, Alperen Sengun",HOU,66,7,108.7,125.0,-16.3
"Nicolas Batum, Paul George, Monte Morris Sr., Reggie Jackson, Ivica Zubac",LAC,66,5,110.4,112.1,-1.7
"DeMar DeRozan, Nikola Vucevic, Zach LaVine, Damian Jones Jr., Lonzo Ball",CHI,65,7,105.9,109.0,-3.1
"Jonas Valanciunas, Josh Hart, Devonte' Graham, Nickeil Alexander-Walker, Herbert Jones",NOP,65,15,129.7,110.6,19.1
"Terrence Ross, Gary Harris, Moritz Wagner, Chuma Okeke, Jalen Suggs",ORL,65,12,101.4,112.7,-11.3
"Al Horford, Dennis Schroder, Jaylen Brown, Jayson Tatum, Robert Williams III",BOS,64,8,121.1,104.9,16.3
"Cory Joseph, Marvin Bagley III, Saddiq Bey, Isaiah Stewart, Cade Cunningham",DET,64,7,114.4,117.3,-2.9
"Caris LeVert, Lauri Markkanen, Darius Garland, Moses Brown, Isaac Okoro",CLE,64,5,111.8,130.2,-18.4
"Eric Bledsoe, Luke Kennard, Isaiah Hartenstein, Tre Mann, Brandon Boston Jr.",LAC,64,12,108.5,116.7,-8.1
"Jusuf Nurkic, Justise Winslow, Josh Hart, Anfernee Simons, CJ Elleby",POR,64,3,129.0,113.4,15.6
"Alec Burks, Evan Fournier, Nerlens Noel, Julius Randle, RJ Barrett",NYK,63,13,99.3,119.5,-20.3
"Caris LeVert, Lauri Markkanen, Darius Garland, Isaac Okoro, Evan Mobley",CLE,63,8,125.8,115.4,10.4
"Chris Paul, JaVale McGee, Devin Booker, Mikal Bridges, Cameron Johnson",PHX,63,19,116.7,108.0,8.7
"DeMar DeRozan, Nikola Vucevic, Zach LaVine, Lonzo Ball, Patrick Williams",CHI,63,5,97.8,88.1,9.6
"Danny Green, Tobias Harris, Seth Curry, Joel Embiid, Shake Milton",PHI,63,8,109.6,113.6,-4.0
"Josh Hart, Drew Eubanks, CJ Elleby, Brandon Williams, Trendon Watford",POR,63,5,99.3,110.2,-10.9
"Josh Richardson, Dejounte Murray, Jakob Poeltl, Keon Johnson, Devin Vassell",SAS,63,8,113.6,106.2,7.4
"Rudy Gay, Mike Conley, Rudy Gobert, Jordan Clarkson, Danuel House Jr.",UTA,63,7,97.9,89.7,8.2
